run,classname,last,count,delta,lenmean,lensd,lenmax
1,Float,243825,152369,-91456,,,
1,String,77272,76000,-1272,29.457368,104.932532,23714.000000
1,Array,6773,6180,-593,5.745631,33.210789,558.000000
1,Gem::Version,1035,1025,-10,,,
1,Gem::Requirement,1003,998,-5,,,
1,Regexp,948,971,23,,,
1,Class,905,923,18,,,
1,Proc,381,408,27,,,
1,Module,370,390,20,,,
1,Time,299,298,-1,,,
1,Hash,297,296,-1,16.121622,57.222125,521.000000
1,Range,150,154,4,,,
1,Mongrel::Stats,14,22,8,,,
1,Set,15,16,1,75.687500,173.032066,521.000000
2,String,76000,75887,-113,29.177764,60.290995,4964.000000
2,Float,152369,35051,-117318,,,
2,Array,6180,6172,-8,5.745463,33.231877,558.000000
2,Gem::Version,1025,1024,-1,,,
2,Regexp,971,970,-1,,,
2,Class,923,925,2,,,
2,Proc,408,407,-1,,,
2,Module,390,406,16,,,
2,Hash,296,260,-36,18.092308,61.082000,521.000000
2,Set,16,17,1,71.411765,168.462555,521.000000
3,Float,35051,271641,236590,,,
3,String,75887,76397,510,29.152807,60.561489,4964.000000
3,Array,6172,7106,934,5.190121,31.045902,558.000000
3,Regexp,970,971,1,,,
3,Proc,407,479,72,,,
3,Time,298,341,43,,,
3,Hash,260,277,17,17.851986,59.865518,521.000000
3,Range,154,155,1,,,
3,YAML::Syck::Scalar,0,70,70,,,
3,Mongrel::Stats,22,39,17,,,
4,Float,271641,136948,-134693,,,
4,String,76397,75754,-643,28.801608,44.575797,3458.000000
4,Array,7106,6145,-961,5.761107,33.302080,558.000000
4,Regexp,971,970,-1,,,
4,Class,925,923,-2,,,
4,Proc,479,406,-73,,,
4,Module,406,390,-16,,,
4,Time,341,291,-50,,,
4,Hash,277,243,-34,19.074074,63.025400,521.000000
4,Range,155,154,-1,,,
4,Set,17,16,-1,75.687500,173.032066,521.000000
4,Mongrel::Stats,39,15,-24,,,
5,Float,136948,360793,223845,,,
5,String,75754,76242,488,28.786496,45.066109,3458.000000
5,Array,6145,7026,881,5.222459,31.204816,558.000000
5,Regexp,970,968,-2,,,
5,Class,923,921,-2,,,
5,Proc,406,478,72,,,
5,Time,291,329,38,,,
5,Hash,243,260,17,18.569231,61.370442,521.000000
5,Range,154,155,1,,,
5,YAML::Syck::Scalar,0,70,70,,,
5,Mongrel::Stats,15,28,13,,,
6,Float,360793,237814,-122979,,,
6,String,76242,75713,-529,28.813744,44.585602,3458.000000
6,Array,7026,6141,-885,5.764696,33.312627,558.000000
6,Regexp,968,967,-1,,,
6,Class,921,919,-2,,,
6,Proc,478,406,-72,,,
6,Module,390,374,-16,,,
6,Time,329,292,-37,,,
6,Hash,260,238,-22,19.037815,63.279591,521.000000
6,Range,155,154,-1,,,
6,Set,16,15,-1,80.533333,177.977874,521.000000
6,Mongrel::Stats,28,15,-13,,,
6,YAML::Syck::Scalar,70,12,-58,,,
